"Links","Images","Title","Price","Rating"
"https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NjU3OTM5MDkzMDMyMDg3OjE3MzI2MzA3NjU6c3BfYXRmOjMwMDA2ODc3NjcwNjMwMjo6MDo6&url=%2FCrayola-Ultimate-Crayon-Collection-Pieces%2Fdp%2FB00CI6J3HA%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw%26dib_tag%3Dse%26keywords%3Dschool%2Bsupplies%26qid%3D1732630765%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/61mMuRZsiyL._AC_UL320_.jpg","Crayola Ultimate Crayon Box Collection (152ct), Bulk Kids Crayon Caddy, Classic & Glitter Crayons for Coloring, Holiday Gift for Kids","17.","4.8 out of 5 stars"
"https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NjU3OTM5MDkzMDMyMDg3OjE3MzI2MzA3NjU6c3BfYXRmOjMwMDUxMzU1NTMyMTYwMjo6MDo6&url=%2FElmers-Sticks-Washable-Assorted-Disappearing%2Fdp%2FB0CYCQMWF3%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw%26dib_tag%3Dse%26keywords%3Dschool%2Bsupplies%26qid%3D1732630765%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/81oaAV+eYiL._AC_UL320_.jpg","Elmer’s Color 'n Glitz Glue Sticks, Washable, Assorted Colors, Includes Disappearing Purple Glue Sticks, 6 Grams, 12 Pack","3.","4.6 out of 5 stars"
"https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NjU3OTM5MDkzMDMyMDg3OjE3MzI2MzA3NjU6c3BfYXRmOjMwMDUwOTA1NzAxMTYwMjo6MDo6&url=%2FPaper-Mate-Scented-Assorted-Nature%2Fdp%2FB0CF2TSN5T%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw%26dib_tag%3Dse%26keywords%3Dschool%2Bsupplies%26qid%3D1732630765%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/811qW1X635L._AC_UL320_.jpg","Paper Mate Flair Nature Escape Scented Felt Tip Pens, Medium Point (0.7mm), Assorted Colors, 16-Count (Perfect for Journaling, Writing, Coloring, and Teacher Supplies)","11.","4.7 out of 5 stars"
"https://amazon.com/Crayola-Construction-Colors-Stocking-Stuffer/dp/B00MJ8JSFE/ref=sr_1_4?dib=eyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw&dib_tag=se&keywords=school+supplies&qid=1732630765&sr=8-4","https://m.media-amazon.com/images/I/61TbDzO158L._AC_UL320_.jpg","Crayola Construction Paper - 480ct (2pck), Bulk School Supplies For Kids, Teacher Classroom Must Have, Art Paper, Arts & Crafts","14.","4.8 out of 5 stars"
"https://amazon.com/Paper-Mate-Medium-Assorted-Colors/dp/B000J09CO6/ref=sr_1_5?dib=eyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw&dib_tag=se&keywords=school+supplies&qid=1732630765&sr=8-5","https://m.media-amazon.com/images/I/81X1SjEnOyL._AC_UL320_.jpg","Paper Mate Flair Felt Tip Pens | Medium Point 0.7 Millimeter Marker Pens | School Supplies for Teachers & Students | Assorted Colors, 12 Count","","4.8 out of 5 stars"
"https://amazon.com/Soucolor-72-Color-Coloring-Crafting-72-Colors/dp/B01N09ZDEI/ref=sr_1_6?dib=eyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw&dib_tag=se&keywords=school+supplies&qid=1732630765&sr=8-6","https://m.media-amazon.com/images/I/81mbDWmT1NL._AC_UL320_.jpg","Soucolor 72-Color Colored Pencils for Adult Coloring Books, Back to School Supplies, Soft Core Artist Sketching Drawing Pencils Drawing Supplies, Art Supplies Kit for Adults Kids, Coloring Pencils Set","8.","4.7 out of 5 stars"
"https://amazon.com/Crayola-Crayons-Classpack-Assorted-Colors/dp/B00Y4QBJAQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw&dib_tag=se&keywords=school+supplies&qid=1732630765&sr=8-7","https://m.media-amazon.com/images/I/71UtGRoqZNL._AC_UL320_.jpg","Crayola Crayons Bulk (24 Packs), Back to School Supplies for Preschool & Kindergarten, Bulk Crayons for Kids, Classroom Supplies","39.","4.9 out of 5 stars"
"https://amazon.com/Nicpro-Aesthetic-Highlighters-Retractable-Mechanical/dp/B0BTPGFTYD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw&dib_tag=se&keywords=school+supplies&qid=1732630765&sr=8-8","https://m.media-amazon.com/images/I/7197uJpn15L._AC_UL320_.jpg","Nicpro 39 PCS Aesthetic School Supplies with Big Capacity Pen Case, 12 Color Pastel Highlighters, 5 Quick Dry Retractable Black Ink Pens, 6 Pastel Mechanical Pencil 0.5 & 0.7 mm for Student Stationary","21.","4.8 out of 5 stars"
"https://amazon.com/Crayola-Classpack-Supplies-Teachers-Classroom/dp/B0002T3WLS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw&dib_tag=se&keywords=school+supplies&qid=1732630765&sr=8-9","https://m.media-amazon.com/images/I/71pd59OdMML._AC_UL320_.jpg","Crayola Broad Line Markers Classpack (256 Ct), Bulk School Supplies For Teachers, Kids Markers For School, Classroom Must Have","52.","4.9 out of 5 stars"
"https://amazon.com/AmazonBasics-Pre-sharpened-Wood-Cased-Pencils/dp/B071JM699P/ref=sr_1_10?dib=eyJ2IjoiMSJ9.wZVnuMFnx-ijVMWr6HxAmcfKh_WW8MD636S7Ia_iqz_rs49fGvqHmAqCeESsDHQmuDOqPetw9Ygs3HeIJWG3Tp7sfBsBH89NTY6NnzwuFLwArB54DLU-anXzN8KRZw6uCqXnQiwbNvM_S8co5-UXtwF8Z6c49cG-O3YA5ccOBDmfgNcB1hSuSeX4dYuj65Bl4Du75wvSO7exxuJSSgnT9o_GFYBJnNw59IhzZOC3PRP5aDwS9ayMJow0mSe3x1fYw2md6RMqWKV05W0mqGcBf0hryTwP0S0q5HcpAa6D-qg.9OVo6qXljR_Hy1m_NaHGdWuy9QLNwKQnhveJ99UVlPw&dib_tag=se&keywords=school+supplies&qid=1732630765&sr=8-10","https://m.media-amazon.com/images/I/81qxJ-PgGLL._AC_UL320_.jpg","Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow","11.","4.8 out of 5 stars"
