"Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","kenneth d.","Reviewed in the United States on August 8, 2024","5.0 out of 5 stars","These are very comfortable and they look really nice",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Tonya M Williams","Reviewed in the United States on August 9, 2024","","I bought these for my Dad and he loves them. Says they are super comfortable and easy to put on. Unfortunately, they are not slip-ons like my Dad wanted. But, he said they are still easy for him to put on with no problem.Definitely would buy more in other colors since Dad likes them so much.",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Emil Bobev","Reviewed in the United States on February 15, 2024","Look great and very inexpensive","Shoes are very stylish and lightweight. Unfortunately they feel very loose around the heel. I only wore them once and I didn't have to walk far, but I think if I was to take them for a longer walk, I would regret my life.Came packaged in a wrap, which was a little odd, but didn't affect the apperance of the shoe at all. They have a strong glue odor",4,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Edgardo Guardado","Reviewed in the United States on November 22, 2024","5.0 out of 5 stars","Great style, cheap price, professional",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","cindycando","Reviewed in the United States on November 17, 2024","","Nothing like in the Amazon listing pictures. Shoes were sandwiched together in clear plastic wrapping causing them to be deformed. Shoes are too wide but felt like they might be comfortable but even with them on the deformities were still visible.",1,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","cindycando","Reviewed in the United States on October 1, 2024","Comfy shoes for Dad","Came on time and packaged well. Real comfortable",1,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Elkeno Brown","Reviewed in the United States on October 6, 2024","4.0 out of 5 stars","Very light weight shoes.  No arch support.  Cheaply made.  However, they do look pretty good.",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Old nerd","Reviewed in the United States on October 22, 2024","","These are the best shoes! My son really likes them!",3,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Dr. Lori Butler","Reviewed in the United States on August 8, 2024","No heel support","These are very comfortable and they look really nice",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","kenneth d.","Reviewed in the United States on August 9, 2024","5.0 out of 5 stars","I bought these for my Dad and he loves them. Says they are super comfortable and easy to put on. Unfortunately, they are not slip-ons like my Dad wanted. But, he said they are still easy for him to put on with no problem.Definitely would buy more in other colors since Dad likes them so much.",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Tonya M Williams","Reviewed in the United States on February 15, 2024","","Shoes are very stylish and lightweight. Unfortunately they feel very loose around the heel. I only wore them once and I didn't have to walk far, but I think if I was to take them for a longer walk, I would regret my life.Came packaged in a wrap, which was a little odd, but didn't affect the apperance of the shoe at all. They have a strong glue odor",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Emil Bobev","Reviewed in the United States on November 22, 2024","Perfect","Great style, cheap price, professional",4,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Edgardo Guardado","Reviewed in the United States on November 17, 2024","1.0 out of 5 stars","Nothing like in the Amazon listing pictures. Shoes were sandwiched together in clear plastic wrapping causing them to be deformed. Shoes are too wide but felt like they might be comfortable but even with them on the deformities were still visible.",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","cindycando","Reviewed in the United States on October 1, 2024","","Came on time and packaged well. Real comfortable",1,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","cindycando","Reviewed in the United States on October 6, 2024","Poor packaging.","Very light weight shoes.  No arch support.  Cheaply made.  However, they do look pretty good.",1,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Elkeno Brown","Reviewed in the United States on October 22, 2024","5.0 out of 5 stars","These are the best shoes! My son really likes them!",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Old nerd","Reviewed in the United States on August 8, 2024","","These are very comfortable and they look really nice",3,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Dr. Lori Butler","Reviewed in the United States on August 9, 2024","Comfortable","I bought these for my Dad and he loves them. Says they are super comfortable and easy to put on. Unfortunately, they are not slip-ons like my Dad wanted. But, he said they are still easy for him to put on with no problem.Definitely would buy more in other colors since Dad likes them so much.",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","kenneth d.","Reviewed in the United States on February 15, 2024","3.0 out of 5 stars","Shoes are very stylish and lightweight. Unfortunately they feel very loose around the heel. I only wore them once and I didn't have to walk far, but I think if I was to take them for a longer walk, I would regret my life.Came packaged in a wrap, which was a little odd, but didn't affect the apperance of the shoe at all. They have a strong glue odor",5,NA
"Shoes","Mens Oxfords Lace-Up Lightweight Casual Walking Shoes Dress Shoes Fashion Sneakers Walking Shoes","Tonya M Williams","Reviewed in the United States on November 22, 2024","","Great style, cheap price, professional",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Alexander Molins","Reviewed in the United States on October 29, 2024","5.0 out of 5 stars","I love these sneakers.  The slip on feature works very well and is very convenient, especially when going through airport security.  Well worth it!  They fit well, look good and feel comfortable.Nice!",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Nick","Reviewed in the United States on December 4, 2024","","These shoes are great, the fit true to size, but the best feature has to be the slip on functionality. No more crushed heels on the shoes, just slide your foot in, no hassle. So far they have been durable, the bend great, and cushion my foot. Best shoes I’ve bought from Skechers yet!",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","HeckaNoDoy","Reviewed in the United States on December 1, 2024","Good sneakers at a reasonable price","Like every pair of slip on Sketchers I have bought since they came out, I love them. They are so easy to slip on ( = convenience) and comfortable to walk/run in ( = high quality). I feel like I am walking on a cloud. I believe these are the third, possibly even fourth pair I have bought over the past past few years and I don't have any desire to stop anytime soon. I really don't even care what they look like because I am so satisfied with how comfortable they are, but I would say they are reasonably attractive. Maybe not for the youngins, but for a 40 year old fart like me, I would confidently sport these all over town with a gigantic smile on my face. However, not looking forward to the crows feet caused by all the smiling. At my age they can become quite noticeable unfortunately.",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Donald Buttram","Reviewed in the United States on October 12, 2024","5.0 out of 5 stars","No dislikes. Slid my feet in with ease. Great fit. Comfortable to walk around. Obviously, this model is not designed for rigorous activities, Example basketball.",4,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Stephen C","Reviewed in the United States on November 11, 2024","","The perfect work shoe. Extremely comfortable and convenient. Great value for the money.",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Andy","Reviewed in the United States on November 20, 2024","Great fit in an amazing shoe","great shoes that fit and feel comfortable.  Haven't worn them often yet but do like the looks and feel.",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Krisztina","Reviewed in the United States on December 3, 2024","5.0 out of 5 stars","Got these for grandpa as they're easy to step into and slip on. No bending over to get em on or off, or to tie them . Comfortable, supportive.  He's a 12.5 so I rounded up to 13 cuz they sadly don't make half sizes. Great practical gift. Esp useful for seniors who have a hard time bending over or convenient for exercising no pausing to tie laces",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Robert Chudek","Reviewed in the United States on November 16, 2024","","I have worn these shoes for a year and they have held up nicely. I occasionally clean them with soapy water, a brush, and towel dry them to spiff them up. I haven't tried washing them. The only negative I found is the deep grooves in the soles tend to pick  up small gravel from my (un-paved) driveway so I find little stones in my house at times.",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Martin J","Reviewed in Mexico on December 1, 2024","Love 'em!","Lo mejor en comodidad!!!  Súper ligeros y amplios! Qué belleza de calzado! Para aquellos que tiene el pie más ancho de lo normal o con juanetes, éstos son los indicados!",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","pedro martinez chong","Reviewed in Mexico on November 4, 2024","4.0 out of 5 stars","",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","MrLou","Reviewed in Canada on October 19, 2024","","perfectos e quedaron bien",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","SHEPPY","Reviewed in Canada on September 25, 2024","Bingo","",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","AJ","Reviewed in Canada on September 7, 2024","5.0 out of 5 stars","As promoted, these are easy to slip on. A bit more work to remove though, because your feet are snug inside them. The shoes have a great insole and very comfortable to wear. I don't have a wide foot, so I don't know how they'd fit someone who needs width. I've had the only for a week, but have worn them every day. I'll look at buying another pair when I see them on sale.",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Alexander Molins","Reviewed in the United States on October 29, 2024","","Wow 😮 lightweight and comfortable 👍 Walking around in them, I thought I was wearing a pair of slippers 🥿 And yes- you Slip In and Out of them effortlessly 🥰  No bending at all 🤗The Charcoal colour looks 👀 like a million dollars 💵 The size 9, fit me like a glove 🧤 Very happy 😃 with this product ❤️🤗👍",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Nick","Reviewed in the United States on December 4, 2024","Great value. Quality product","I take 1 half size smaller in these.",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","HeckaNoDoy","Reviewed in the United States on December 1, 2024","5.0 out of 5 stars","I love these sneakers.  The slip on feature works very well and is very convenient, especially when going through airport security.  Well worth it!  They fit well, look good and feel comfortable.Nice!",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Donald Buttram","Reviewed in the United States on October 12, 2024","","These shoes are great, the fit true to size, but the best feature has to be the slip on functionality. No more crushed heels on the shoes, just slide your foot in, no hassle. So far they have been durable, the bend great, and cushion my foot. Best shoes I’ve bought from Skechers yet!",4,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Stephen C","Reviewed in the United States on November 11, 2024","Great shoe","Like every pair of slip on Sketchers I have bought since they came out, I love them. They are so easy to slip on ( = convenience) and comfortable to walk/run in ( = high quality). I feel like I am walking on a cloud. I believe these are the third, possibly even fourth pair I have bought over the past past few years and I don't have any desire to stop anytime soon. I really don't even care what they look like because I am so satisfied with how comfortable they are, but I would say they are reasonably attractive. Maybe not for the youngins, but for a 40 year old fart like me, I would confidently sport these all over town with a gigantic smile on my face. However, not looking forward to the crows feet caused by all the smiling. At my age they can become quite noticeable unfortunately.",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Andy","Reviewed in the United States on November 20, 2024","5.0 out of 5 stars","No dislikes. Slid my feet in with ease. Great fit. Comfortable to walk around. Obviously, this model is not designed for rigorous activities, Example basketball.",5,NA
"Shoes","Skechers Men's Summits High Range Hands Free Slip-in","Krisztina","Reviewed in the United States on December 3, 2024","","The perfect work shoe. Extremely comfortable and convenient. Great value for the money.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Bryan","Reviewed in the United States on September 24, 2024","5.0 out of 5 stars","I recently got my hands on the Under Armour Men’s Charged Surge 4 Sneakers, and they have quickly become my go-to shoes for both running and everyday wear. These sneakers are a perfect blend of comfort, support, and style.The breathable mesh upper with synthetic overlays provides excellent structure and support, keeping my feet cool and comfortable even during long runs. The enhanced cushioning around the ankle collar is a game-changer, offering superior comfort and preventing any irritation.One of the standout features is the Deluxe Comfort System sockliner, which molds to my foot for ultimate step-in comfort. The Charged Cushioning® midsole delivers fantastic responsiveness and durability, making each step feel light and energized. Plus, the durable rubber outsole provides great traction and flexibility, ensuring a smooth and stable run.Overall, the Under Armour Charged Surge 4 Sneakers are a fantastic investment for anyone looking for reliable, comfortable, and stylish running shoes. They have exceeded my expectations in every way, and I highly recommend them to fellow runners and fitness enthusiasts!",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Nandriti Tagore","Reviewed in the United States on October 1, 2024","","This the best sneakers that I ever find. It's soft, has jel effects under the feet. Very comfortable to wear to walk. Must buy. Love the color. It support the feet, fits well. Wear them more than 10hrs so the traction is very smooth. I believe the durability is very good.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Nandriti Tagore","Reviewed in the United States on November 15, 2024","My favorite shoes!","This brand has been my go to for a while now. They fit well and comfortable enough when going out on runs. Under Armour puts out quality shoes.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Renee GS","Reviewed in the United States on November 29, 2024","5.0 out of 5 stars","Comfortable and a good price. They run on the smaller side so if you have a range of shoe sizes that fit you, order these on the larger end. I wear 10.5. To 11.5 depending on brand and I ordered all 3 sizes. The 11.5 were perfect so the others got returned",4,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","John Lohmeyer","Reviewed in the United States on November 6, 2024","","Love these. They’re sleek looking, comfort is great. Size is accurate. Never had a problem with UA sneakers. Only sneakers I buy.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","The Amado's","Reviewed in the United States on September 16, 2024","Walking on could 9","These were the first Extra wide shoe I have ever bought. I am a size 14 and it can be difficult to find durable comfortable shoes in my size. And it is harder to find a good pair online. I took a chance on these and I am blown away with how they feel and look. I am 400lbs and need to start walking. And when I was able to try them on I was very surprised. I haven't needed to buy insole supports yet and they feel amazing. Its no surprise why they were sold out of so many colors. But the blue still looks great. I am definitely buying a second pair for the gym. I can only hope they last me a while. They arent super expensive but I do not want to pay 50 bucks for shoes every other month.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","The Amado's","Reviewed in the United States on November 22, 2024","4.0 out of 5 stars","These are great shoes. I wear them for workouts, running, and everyday activities. They seem to hold up very well.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Jorge Andrade Jr.","Reviewed in the United States on September 8, 2024","","Quite stylish, very light and comfortable and an overall nice pair of sneakers. I would have liked to be able to remove the insoles and use my own but no can do.Let's give it a few times round the block and we'll talk about durability and support!UPDATE: They're still comfortable but a little less so. They're also a bit bulky and deep (they rub the base of my ankles), in my opinion.Still, they're a nice pair of sneakers.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Joey","Reviewed in Mexico on November 17, 2024","comfortable","Pensé que iban. Allegar sucios o algo así por el transporte pero llegan al 100",5,NA
